,query,engine,batch,instance,query_class,status,timeout,nb_results,nb_distinct_sources,relevant_sources_selectivity,tpwss,source_selection_time,planning_time,ask,exec_time,http_req,data_transfer,sts,exec_time_only
21073,q11,semagrow,3,0,SD,success,,9.0,1.0,0.0125,2.0,913.0,36.0,240.0,1025.0,241.0,0.078762,success,112.0
21074,q11,semagrow,3,0,SD,success,,9.0,1.0,0.0125,2.0,845.0,38.0,240.0,965.0,241.0,0.078762,success,120.0
21075,q11,anapsid,3,0,SD,success,,9.0,1.0,0.0125,2.0,0.5965941905975342,0.5069835186004639,240.0,0.5438172817230225,243.0,0.033301,success,-0.0527769088745117
21076,q11,anapsid,3,0,SD,success,,9.0,1.0,0.0125,2.0,0.6110862255096435,0.521453857421875,240.0,0.5625321865081787,243.0,0.033301,success,-0.04855403900146482
21077,q11,anapsid,3,0,SD,success,,9.0,1.0,0.0125,2.0,0.6121238231658935,0.5227060317993164,240.0,0.5548691749572754,243.0,0.033301,success,-0.05725464820861814
21078,q11,fedup_h0,3,0,SD,success,,18.0,1.0,0.0125,3.0,0.1,,160.0,5.0,162.0,0.106302,success,4.9
21079,q11,fedup_h0,3,0,SD,success,,18.0,1.0,0.0125,3.0,0.1,,160.0,4.0,162.0,0.106302,success,3.9
21080,q11,fedup_h0,3,0,SD,success,,18.0,1.0,0.0125,3.0,0.1,,160.0,4.0,162.0,0.106302,success,3.9
21081,q11,rsa,3,0,SD,success,,9.0,1.0,0.0125,2.0,,,0.0,33.516645431518555,1.0,0.0029259999999999998,success,
21082,q11,rsa,3,0,SD,success,,9.0,1.0,0.0125,2.0,,,0.0,31.662702560424805,1.0,0.0029259999999999998,success,
21083,q11,rsa,3,0,SD,success,,9.0,1.0,0.0125,2.0,,,0.0,30.37691116333008,1.0,0.0029259999999999998,success,
21084,q11,fedx,4,0,SD,success,,9.0,1.0,0.01,2.0,647.0,0.0,300.0,768.0,301.0,0.097494,success,121.0
21085,q11,fedx,4,0,SD,success,,9.0,1.0,0.01,2.0,605.0,0.0,300.0,726.0,301.0,0.097494,success,121.0
21086,q11,fedx,4,0,SD,success,,9.0,1.0,0.01,2.0,664.0,0.0,300.0,784.0,301.0,0.097494,success,120.0
21087,q11,costfed,4,0,SD,success,,9.0,1.0,0.01,1.0,589.0,590.0,500.0,599.0,501.0,0.22253599999999998,success,10.0
21088,q11,costfed,4,0,SD,success,,9.0,1.0,0.01,1.0,548.0,549.0,500.0,556.0,501.0,0.22253599999999998,success,8.0
21089,q11,costfed,4,0,SD,success,,9.0,1.0,0.01,1.0,520.0,521.0,500.0,530.0,501.0,0.22253599999999998,success,10.0
21090,q11,splendid,4,0,SD,error_runtime,120000.0,,1.0,0.01,2.0,,,0.0,,450.0,0.019797,error_runtime,
21091,q11,splendid,4,0,SD,error_runtime,120000.0,,1.0,0.01,2.0,,,0.0,,450.0,0.019797,error_runtime,
21092,q11,splendid,4,0,SD,error_runtime,120000.0,,1.0,0.01,2.0,,,0.0,,450.0,0.019797,error_runtime,
21093,q11,semagrow,4,0,SD,success,,9.0,1.0,0.01,2.0,936.0,27.0,300.0,1031.0,301.0,0.09696199999999999,success,95.0
21094,q11,semagrow,4,0,SD,success,,9.0,1.0,0.01,2.0,1049.0,37.0,300.0,1157.0,301.0,0.09696199999999999,success,108.0
21095,q11,semagrow,4,0,SD,success,,9.0,1.0,0.01,2.0,927.0,37.0,300.0,1032.0,301.0,0.09696199999999999,success,105.0
21096,q11,anapsid,4,0,SD,success,,9.0,1.0,0.01,2.0,0.7880271434783935,0.7007217407226562,300.0,0.728895902633667,303.0,0.040921,success,-0.05913124084472654
